entity1,relationship,entity2
Castle Black,let his men rape,Sansa
Tommen,let them kill,Faith Militant
Tommen,let this happen,Loras
Bones,lets,Ygritte
Daenerys,liberating,Razdal
Willem,lie,Robb
Haunted Forest,lies,Wall
Drogo,lifts,Daenerys
Melisandre,lights,Mance
Pentos,like a,Dothraki
Kraznys,like a,Harpy
Joffrey,like that,Tywin
Jon,like the,Maester
Stannis,like the,Wildlings
Rhaegar,liked to leave,Red Keep
Daenerys,likens,Great Houses
Jaime,likes to improvise,Bronn
Bran,likes to ride,Tyrion
Oberyn,listening,Tyrion
Hot Pie,lived,King
Shae,living,Tyrion Lannister
Lady Olenna Tyrell,lobby,Margaery
Tywin,locate,Jaime
Melisandre,located,Renly
Ser Barristan,look,Lancel
Shae,look,Sansa
Davos,look,Queen Selyse
Jon,look,Night King
Missandei,look,Drogon
Tyrion,look,Grey Worm
Bran,looking,Eddard
Sansa,looking forward to seeing,Highgarden
Jon,looks,Sam
Jon,looks,Olly
Lannisters,lose,Stannis
Stannis,loses,Davos
Varys,loses,Tyrion
Samwell,loses,Gilly
Tormund,losing,Jon
Stone Mill,lost,Robb
Eddard Stark,lost,Jaime
Tyrion,lost heart and fled,Pod
Edmure,lost only two hundred,Stone Mill
Dothraki,love,Dany
Jon,loved,Ygritte
Tommen,loves,Margaery
Ser Davos,loyal,Jon Snow
Castle Black,loyal,Jon
Craster,lunges,Karl
Alton,lure,Torrhen Karstark
Edmure,lure,Lannisters
Jon,lying,Styr
Melisandre,made,Ser Davos
Cersei,made,Jaime
Ships,made,Kevan Lannister
Elia Martell,made,Lyanna
Rhaegar,made,Lyanna
Dreadfort,made an attempt to rescue,Ramsay Bolton
Eddard,made to execute,Will
Locke,maimed,Bolton
Locke,maiming,Tywin
Karstark,maintains,Edmure
Robb,maintains,Catelyn
Aemon,make,Jon
Joffrey,make,Dontos
Robb,make,Balon King
Daenerys,make,Westeros
Edmure,make,Tyrell
Westerlands,make,Casterly Rock
Tormund Giantsbane,make,Castle Black
Lord Tywin,make,Qyburn Grand Maester
Gregor,make,Ellaria
Stannis,make,Sansa
Jorah,make,Daenerys
Yara,make,Westeros
Queen –,make a fortune selling,Jorah
Pycelle,make a show of convincing,Joffrey
Daenerys Stormborn,make amends for failing,House Targaryen
Tywin,makes,Tywin
Tormund,makes,Mance
Varys,makes,Littlefinger
Tyrell,makes,Sansa
Mormont,makes,Karl
Lord Commander,makes,Mormont
Winterfell,makes,Sansa Robb
Robb,makes,Lord Frey
Stannis,makes,Jon
Dany,makes,Meereen
Cersei,makes,Red Keep
Renly,makes him king,Stannis
Jaime,makes it plain,Brienne
Bolton,makes plain,Robb Stark
King,making,Eddard Stark
Riverlands,making,Vale
Ramsay,making,House Bolton
Craster,making,Wall
Petyr Baelish,managed,Olyvar
Pypar,managed to kill,White Walker
Brienne,managed to talk,Locke
Margaery,manages to divert,Joffrey
Margaery,manages to impress,Sparrow
Oberyn,manages to seriously injure,Gregor
Beric,manages to set,Sandor
Tyrion,manages to successfully persuade,Jorah
Melisandre,manages to successfully seduce,Stannis
Margaery,manipulate,Cersei
Cersei,manipulates,Sansa
Margaery,manipulates,Tommen
Janos Slynt,manning the abandoned,Greyguard
Robb,march,Tywin
Tyrells,march,King
Vale,march,North
Tywin,marched,Riverrun
Jon Jon,marches,South
Loras,marriage and to inherit,Highgarden
Robb,married,Talisa
Princess Daenerys Targaryen,marries,Khal Drogo
Daenerys,marries,Khal Drogo
Arya,marry,Walder
Tyrion,marry,Myrcella
Ser Loras,marry,Cersei
Kingdom,marry,Loras
Edmure Tully,marry,Roslin
Margaery,marry,Margaery
Robb,marrying,Talisa
Lysa,marrying,Petyr
Lannisters,massacred,Northern
Tywin,mean,Tommen
Iron Throne,meaning,Lannisters
Viserys Viserys,meaning to stay,Drogo
Winterfell,means,Stannis
Castle Black,means they are,Nightfort
Mormont,means to lead,Night
Baelish,means to return,Winterfell
Tommen,meekly,Red Keep
Eddard,meet,Eddard
Sansa,meet,Margaery
Robb Stark,meet,Black Walder
Gilly,meet,Maester Aemon
Petyr Petyr,meet,Cersei
Winterfell,meet,Ramsay Bolton
Daenerys,meeting,Khal
Cersei,meeting,Baelish
Eddard,meets,Lord Petyr
Benjen Benjen,meets,Jon
Eddard,meets,Tobho Mott
Varys,meets,Illyrio
Eddard,meets,Robert
Lord Lord,meets,Cersei Lannister
Baelish,meets,Catelyn Stark
Joffrey,meets,Qhorin
Jaime,meets,Dany
Cersei,meets,Tyrion
Varys,meets,Arya
Littlefinger,meets,Sansa
Dany,meets,Titan
Varys,meets,Shae
Daenerys,meets,Missandei
Jon,meets,Tormund Giantsbane
Cersei,meets,Margaery
Roose Roose,meets,Ramsay
Kingsguard,members,Brienne
Joffrey,menaces,Sansa
Olenna,mentions,Sansa
Brienne,mentions,Sansa
Tyrion,mentions,Tywin
Loras,merit and expresses,Loras
Second Sons,met,Daenerys
Obara,met,Oberyn
Benjen Stark,missing ranging,Jafer Flowers
Tyrion,mistreat,Sansa
Kraznys,mo,Nakloz
Kraznys,mo,Nakloz
Razdal,mo,Eraz
Master Razdal,mo,Eraz
Hound,mock,Brienne
Walder,mocks,Robb
Margaery,mocks,Cersei
Euron,mocks,Drowned God
Eddard,mollifies her by allowing,Needle
Catelyn,mourns,Brynden
Jaime,move,Locke
Sansa,moves,Joffrey
Discouraged,moves,Tyrion
Gilly,moves,Nights Watch
Jon,moves,Olly
Tormund,moves to kill,Orell
Greyjoy,murdered,Robb
Gregor Clegane,murdered,Elia
City Watch,murdered,Robert Baratheon
Sansa,murdered,Boltons
Gregor,murdering,Elia
Tyrion,murdering,Tywin
Sansa,murdering,Bran
Stannis,muses that it is,Dragonstone
Jojen,muster to continue,Bran
Stannis,name,Stannis
Winterfell,named,Ros
Robert,named,Mhaegen
Vale,named,Shagga
Bronn,named,Shae
Genna,named,Kayla
Lord Commander Jeor Mormont,named,Bannen
Woods,named,Maggy
Robb,names,Grey Wind
Arya,names,Nymeria
Rickon,names,Shaggydog
Ser Barristan Selmy,naming,Lord Protector
Bran,near,Winterfell
Stannis,near the,Mud Gate
Annoyed,need,Sansa
Robb,need,Tywin Lannister
Stannis,need,Davos
Lannisters,need,Tyrells
Tormund,need ships to bring,Jon
Tywin Lannister,need to attack,Northerners
Jaime,need to cross,Green Fork
Astapor,needed to transport,Westeros
Lord Lord,needing to defend,King
Robb,needs,Gendry
Moat Cailin,needs,Reek
Alliser,needs,Janos
Meereen,needs to get,Tyrion
Drogo,needs to reclaim,Iron Throne
Drogo,needs to retake,Robert Baratheon
King,needs to return,Westerlands
Realm,needs to seize,Cersei
Volantis,negotiate spreading,Daenerys
Tyrion,negotiating,Robb Stark
Daario,nixes,Grey Worm
Janos Janos,nominates,Alliser Thorne
House Lannister,nor,House Baratheon
Night's Watch,nor,Westeros
Tyrion,noted that he is,Jaime
Tyrion,notes,Thorne
Daenerys,notes,Drogo
Mance,notes,Qhorin
Jon,notes,Grenn
Davos,notes,Thorne
Ellaria,notes how odd it is,Oberyn
Aemon,notes that her son has,Aegon V
Pycelle,notes that this will make,Lord Paramount
Tywin,notices,Arry
Arya,notices,Jaqen
Meereen,notices,Missandei
Mance,notices,Jon
Wylis,notices,Bran
Tyrion,notices that he reeks,Cersei
Lannisters,noticing,Valyrian
Lysa,notifying,Eddard
Jon,noting,Craster
Tywin,noting,Tyrion
Harrenhal,noting that this makes,Roose Bolton
Tyrion Lannister,observe,Cersei
Mero,observes,Daenerys
Tywin,observes,Dornish
Aerys Targaryen,obsessed,Robert Baratheon
Free City,of,Pentos
Master,of,Laws
Master,of,Whisperers
Free City,of,Qohor
Vale,of,Arryn
Magister Illyrio Mopatis,of,Pentos
First Sword,of,Braavos
Lord,of,Harrenhal
Green Fork,of,Trident River
Great Sept,of,Baelor
Great Sept,of,Baelor
Vale,of,Arryn
Lord,of,Light
Lord,of,Light
Lord,of,Light
Brienne,of,Tarth
House Martell,of,Dorne
Garden,of,Bones
Battle,of,Oxcross
Talisa,of,Volantis
Lord,of,Light
Garden,of,Bones
Brienne,of,Tarth
Lord,of,Bones
Brienne,of,Tarth
Lord,of,Light
Brienne,of,Tarth
Lord,of,Bones
Lord,of,Bones
Lord,of,Bones
Lord,of,Bones
Lord,of,Bones
Great Sept,of,Baelor
Lord,of,Light
Battle,of,Oxcross
Common Tongue,of,Westeros
Warlocks,of,Qarth
Lord Commander,of,Robert Baratheon
Brienne,of,Tarth
Battle,of,Stone Mill
Lord,of,Harrenhal
Vale,of,Arryn
House Martell,of,Dorne
Iron Bank,of,Braavos
Lord,of,Light
Brienne,of,Tarth
Lord Selwyn,of,Tarth
Brienne,of,Tarth
Great Sept,of,Baelor
Great Sept,of,Baelor
Thoros,of,Myr
Lord,of,Light
Daenerys Stormborn,of,House Targaryen
Liberation,of,Slaver
Siege,of,Pyke
Thoros,of,Myr
Siege,of,Old Wyk
Daenerys Stormborn,of,House Targaryen
Brienne,of,Tarth
Great Sept,of,Baelor
Thoros,of,Myr
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Conquest,of,Westeros
Vale,of,Arryn
Lord,of,Light
Lord,of,Light
Lord,of,Light
Lord,of,Light
Brienne,of,Tarth
Great Sept,of,Baelor
Lord,of,Riverrun
Brienne,of,Tarth
Prince Prince,of,Dorne
Rains,of,Castamere
Brienne,of,Tarth
Lord,of,Light
Lord,of,Light
Lord,of,Light
Great Sept,of,Baelor
Great Sept,of,Baelor
Iron Bank,of,Braavos
Lands,of,Always Winter
Iron Bank,of,Braavos
Vale,of,Arryn
Iron Bank,of,Braavos
Lord,of,Light
Lord,of,Light
Battle,of,Castle Black
House Baratheon,of,Dragonstone
Brienne,of,Tarth
Free City,of,Braavos
Great Sept,of,Baelor
Brienne,of,Tarth
Titan,of,Braavos
Master,of,Ships
Water Gardens,of,Dorne
Lord,of,Winterfell
Long Bridge,of,Volantis
Great Sept,of,Baelor
Thoros,of,Myr
Master,of,Coin Mace Tyrell
Iron Bank,of,Braavos
Great Sept,of,Baelor
Lord,of,Light
Lord,of,Light
Lord Whent,of,Harrenhal
Battle,of,Ashford
Brienne,of,Tarth
Doom,of,Valyria
Hall,of,Faces
Hall,of,Faces
Lord,of,Winterfell
Great Sept,of,Baelor
Great Pit,of,Daznak
House Baratheon,of,Dragonstone
Lord,of,Bones
Lord,of,Light
Princess Shireen,of,House Baratheon
Lord,of,Light
Lord,of,Light
Lord,of,Light
Master,of,Coin Mace Tyrell
Iron Bank,of,Braavos
Battle,of,Winterfell
Brienne,of,Tarth
Podrick Payne,of,Stannis
Great Sept,of,Baelor
Lord,of,Light
Lord,of,Light
Lord,of,Light
Wise Masters,of,Yunkai
Free City,of,Volantis
Great Sept,of,Baelor
Brienne,of,Tarth
Wise Masters,of,Yunkai
Free City,of,Braavos
Red Temple,of,Volantis
Lord,of,Light
Sparrow,of The,Book
Baelish,of The,Vale
Quickly Tyrion,of a,Bronn
Unable,of a,Baelor
Jaime,of a,King
Yunkai,of a,Astapor
Jaime,of a,Tywin Lannister
Shae,of a,Sansa
Jon,of a,Thorne
Obara Obara,of a,Nymeria Sand
High Sparrow,of a,Loras
Dany,of a,Daario
Tower,of a,Northmen
Dayne,of a,Ned
Daenerys,of a,Meereen
Ned,of all,Old
Tormund,of an,Jon Snow
Varys,of any,Melisandre
Jorah Mormont,of both,Daario
Daenerys,of each,Meereen
Warden,of the,North
Khal Drogo,of the,Dothraki
Wall,of the,Night's Watch
Castle Black,of the,White Walker
House Stark,of the,North
King,of the,Seven Kingdoms
Ser Jaime Lannister,of the,Kingsguard
Robert Baratheon,of the,Winterfell
First Ranger,of the,Night's Watch
Jon,of the,Night's Watch
Ser Ilyn Payne,of the,Mad King
Castle Black,of the,Night's Watch
Catelyn,of the,Daenerys
Lord Renly Baratheon,of the,Master
Warden,of the,North
Ser Barristan Selmy,of the,Kingsguard
Castle Black,of the,Night
Night,of the,Wall
Ser Alliser Thorne,of the,Watch
Thorne,of the,Night's Watch
Benjen,of the,Wall
Tyrion,of the,Wall
Tyrion,of the,Wall
Hand,of the,Ned
Robb,of the,Watch
Samwell Tarly,of the,Lord Randyll Tarly
Arryn,of the,Seven Kingdoms
Ser Hugh,of the,Vale
Tyrion Lannister,of the,Vale
High Hall,of the,Eyrie
Ser Hugh,of the,Vale
Barristan,of the,Robert
Mountain,of the,Flowers
Sandor,of the,Hound
Hand,of the,Robert
Cersei,of the,Seven Kingdoms
Robert,of the,Westeros
Jory,of the,Lannister
Tyrion Lannister,of the,Bronn
Ser Vardis Egen,of the,Moon Door
Vardis,of the,Moon Door
Lord Commander Jeor Mormont,of the,Night's Watch
Night,of the,Haunted Forest
Haunted Forest,of the,Watch
Old Gods,of the,Forest
Khal Drogo,of the,Seven Kingdoms
Conqueror,of the,Seven Kingdoms
Robert,of the,Cersei
Eddard Stark,of the,Realm
Lord Protector,of the,Realm
Robert,of the,Realm
Commander Janos Slynt,of the,City Watch
Lord Protector,of the,Realm
Jon,of the,Night
Sam,of the,White Walkers
Eddard,of the,Vale
Bronn,of the,Vale
House Lannister,of the,House Arryn
House Arryn,of the,Vale
Winterfell,of the,North
Robb,of the,North
Green Fork,of the,River Trident
Tywin,of the,Shagga
Ser Meryn Trant,of the,Kingsguard
Arya,of the,Red Keep
Janos Janos,of the,City Watch
Ser Barristan Selmy,of the,Kingsguard
Joffrey,of the,Kingsguard
Battle,of the,Whispering Wood
Aemon Targaryen,of the,Mad King
Daenerys,of the,Dothraki
Yoren,of the,Night's Watch
Winterfell,of the,Night's Watch
Tyrion,of the,Tywin
King,of the,Tywin
Joffrey Baratheon,of the,Red Keep
Hand,of the,Tywin
Tyrion,of the,Hand
Melisandre,of the,Faith
Stannis,of the,Lord
Robert Baratheon,of the,Seven Kingdoms
Gendry,of the,Night's Watch
Theon Greyjoy,of the,Iron Islands
Tyrion Lannister,of the,Hand
Ros,of the,Barra
Commander,of the,City Watch
Matthos Seaworth,of the,Lord
Balon King,of the,Iron Islands
Jon,of the,Lord Commander
Craster,of the,Night's Watch
Theon,of the,Stony Shore
Balon,of the,Iron Islands
Casterly Rock,of the,Lannisters
Lord Roose Bolton,of the,Dreadfort
Dreadfort,of the,Lannister
Joffrey,of the,Baratheon
Clegane,of the,Iron Throne
Battle,of the,Whispering Wood
Ser Meryn Trant,of the,Kingsguard
Stannis,of the,Lord
Fist,of the,First Men
Fist,of the,First Men
Lord Lord,of the,First Men
House Tyrell,of the,Reach
High Septon,of the,Faith
Faith,of the,Seven
Fist,of the,First Men
Fist,of the,First Men
Theon,of the,Dreadfort
Battle,of the,Blackwater
Tyrion,of the,Tyrion
Cersei Lannister,of the,Maegor
Ser Boros Blount,of the,Kingsguard
Battle,of the,Blackwater
Hand,of the,Tywin Lannister
Hand,of the,Savior
Savior,of the,City
Daenerys,of the,Iron Throne
Qhorin Halfhand,of the,Mance Rayder
Mance Rayder,of the,Lord
Fist,of the,First Men
White Walkers,of the,Night's Watch
Battle,of the,Fist
Fist,of the,First Men
Fist,of the,First Men
Mance Rayder,of the,Wall
Qhorin,of the,Night's Watch
Battle,of the,Blackwater
Battle,of the,Blackwater
Ser Bronn,of the,Blackwater
Margaery,of the,Cersei
Battle,of the,Blackwater
Stannis,of the,Painted Table
Oxcross,of the,Lannisters
Daenerys,of the,Unsullied
Jorah,of the,Westeros
Fist,of the,First Men
Lord Lord,of the,Night's Watch
Battle,of the,Fist
Fist,of the,First Men
Bran,of the,Sight
Tourney,of the,Hand
Harrenhal,of the,Northern
Red Fork,of the,Trident River
Brienne,of the,Jaime
Fist,of the,First Men
Battle,of the,Trident
Battle,of the,Trident
Selmy,of the,Targaryen Kingsguard
Fist,of the,First Men
White,of the,Watch
Jon,of the,Night's Watch
Wall,of the,Seven Kingdoms
Lord Commander Jeor Mormont,of the,Night's Watch
Craster,of the,Battle
Battle,of the,Fist
Fist,of the,First Men
Lord Hoster Tully,of the,Red Fork
Red Fork,of the,Trident River
Robb Stark,of the,Northern
Red Fork,of the,Trident
Battle,of the,Blackwater
Tywin Lannister,of the,Small Council
Tywin,of the,Varys
Lord Paramount,of the,Vale
House Tyrell,of the,Reach
Dorne,of the,Baratheons
Pod,of the,Tyrion
Hot Pie,of the,Brotherhood Without Banners
Arya,of the,Brotherhood
Battle,of the,Blackwater
Varys,of the,Varys
Varys,of the,Free Cities
Margaery,of the,Great Sept
Joffrey,of the,Great Sept
Olenna,of the,Cersei
Cersei,of the,Tyrells
Hollow Hill,of the,Brotherhood Without Banners
Clegane,of the,Brotherhood
Tywin Lannister,of the,Five Kings
King,of the,Rhaenys
Bran,of the,Catelyn
Deepwood Motte,of the,North
Craster,of the,Night
Battle,of the,Fist
Fist,of the,First Men
Craster,of the,Night's Watch
Mormont,of the,Grenn
Harpy,of the,Unsullied
House Targaryen,of the,Old Valyria
Unsullied,of the,Astapor
Daenerys,of the,Astapor
Orell,of the,Night's Watch
Orell,of the,Wall
Orell,of the,Wall
Astapor,of the,Yunkai
Ser Barristan Selmy,of the,Greyjoy Rebellion
Lord Commander,of the,Kingsguard
Daenerys,of the,Unsullied
Talisa,of the,Seven Kingdoms
Greyjoy,of the,North
Talisa,of the,Lord Walder Frey
Battle,of the,Blackwater
Citadel,of the,Maesters
Qyburn,of the,Poppy
Riverlands,of the,Brotherhood Without Banners
Brotherhood,of the,Sandor
Battle,of the,Blackwater
Blackwater,of the,Red Priestess Melisandre
Melisandre,of the,Lord
Selyse,of the,Lord
Tyrell,of the,Baelish
Margaery,of the,Joffrey
House Tyrell,of the,Tyrion
Tywin,of the,Karstarks
Battle,of the,Blackwater
Tywin,of the,Kingsguard
Battle,of the,Blackwater
Riverlands,of the,Brotherhood
Robert Baratheon,of the,Lord
Brotherhood,of the,Beric Dondarrion
Fist,of the,First Men
Eraz,of the,Wise Masters
Tywin,of the,Hand
Daenerys,of the,Joffrey
Locke,of the,Bolton
Locke,of the,Brienne
Barristan,of the,Second Sons
Red Fork,of the,Trident
Davos,of the,Gendry
Tyrion,of the,Night's Watch
North,of the,Wall
Nightfort,of the,Night's Watch
Sam,of the,Wall
Seven Kingdoms,of the,Wall
Gift,of the,Watch
Northern,of the,House Frey
Bolton,of the,North
Riverrun,of the,Lannisters
Sandor Clegane,of the,Twins
Podrick Payne,of the,Small Council
Lord,of the,Seven Kingdoms
Melisandre,of the,Five Kings
Bran,of the,Rat Cook
Bran,of the,Meera
Sam,of the,Wall
Sam,of the,White Walkers
Jon,of the,Castle Black
Daenerys,of the,Unsullied
Bronn,of the,Dornish
Sansa,of the,Red Wedding
Olenna,of the,Brienne
Meryn,of the,Tyrells
Battle,of the,Blackwater
Book of Brothers,of the,Kingsguard
Lord Commander,of the,Janos Slynt
Arya,of the,Hound
Locke,of the,Kingslayer
Warden,of the,North
House Stark,of the,North
Robb,of the,Red Wedding
Jon,of the,Night's Watch
Lord Commander,of the,Kingsguard
Tyrion,of the,Hand
Balon Greyjoy,of the,Five Kings
Battle,of the,Blackwater
Margaery,of the,Olenna
Sam,of the,Castle Black
Cersei,of the,Sansa Stark
Daario Daario,of the,Second Sons
Daenerys,of the,Great Masters
Dany,of the,Great Masters
Locke,of the,Wall
Tommen,of the,Seven Kingdoms
Braavos,of the,Westerlands
Ser Mandon Moore,of the,Kingsguard
Battle,of the,Blackwater
Locke,of the,Night's Watch
Mance Rayder,of the,Wall
Hizdahr zo Loraq,of the,Graces
Graces,of the,Meereenese Great Masters
Elia,of the,Lannister Monster
Sam,of the,Wall
Petyr,of the,Moon Door
Warden,of the,North
Grey Worm,of the,Unsullied
Ser Barristan Selmy,of the,Meereen
Meereen,of the,Hand
Robin,of the,Vale
Bloody Gate,of the,Eyrie
Ygritte,of the,Wall
Sam,of the,Night's Watch
Styr,of the,Castle Black
Gilly,of the,Mole
Gilly,of the,Night's Watch
South,of the,Wall
Wall,of the,Night's Watch
North,of the,Wall
Janos Slynt,of the,Wall
Alliser Alliser,of the,Wall
Alliser,of the,Night's Watch
Jon,of the,Wall
Jon Jon,of the,Wall
Wall,of the,Mance Rayder's
Mance,of the,Night's Watch
Castle Black,of the,Wall
Mance,of the,Wall
Wall,of the,White
Night's Watch,of the,Wall
Stannis,of the,Seven Kingdoms
Davos,of the,Night's Watch
Castle Black,of the,Night's Watch
Jon,of the,Tormund
Ygritte,of the,Wall
Bran,of the,Children
Children,of the,Forest
Daenerys,of the,Targaryen
Cersei,of the,Tywin
Cersei,of the,Jaime
Varys,of the,Free Cities
Tyrion,of the,Red Keep
Red Keep,of the,Hand
Tyrion,of the,Tyrion
Arya,of the,Vale
Narrow Sea,of the,Free Cities
Melara Hetherspoon,of the,Westerlands
Unsullied,of the,Great Pyramid
Sons,of the,Harpy
Qyburn,of the,Maesters
Grey Worm,of the,Harpy
Stannis,of the,Night's Watch
Commander,of the,Shadow Tower
Jon,of the,Night's Watch
Bolton,of the,North
Winterfell,of the,Boltons
Stannis Baratheon,of the,Night's Watch
Night's Watch,of the,Seven Kingdoms
Jon,of the,Watch
Commander,of the,City Watch
Arya Stark,of the,Black
Ser Meryn Trant,of the,Kingsguard
High Sparrow,of the,Faith
High Sparrow,of the,Five Kings
Faith Militant,of the,Faith
Lancel,of the,Faith Militant
Tarth,of the,Stormlands
Ellaria Sand,of the,Sand Snakes
Nymeria Sand,of the,Tyene Sand
Warden,of the,North
Valyria,of the,Stannis
Sansa,of the,North
Sons,of the,Harpy
Sons,of the,Harpy
Meereenese,of the,Second Sons
Sons,of the,Harpy
Unsullied,of the,Sons
Sons,of the,Harpy
Sons,of the,Harpy
Sons,of the,Harpy
Sons,of the,Harpy
Daenerys,of the,Hizdahr
Sons,of the,Missandei
Sansa,of the,Broken Tower
Tyrion,of the,Jorah
Waif,of the,Faceless Men
Jorah,of the,Westeros
Trystane,of the,Bronn
Baelish,of the,Vale
Warden,of the,North
North,of the,Broken Tower
Warden,of the,North
Lord Commander,of the,Night's Watch
Meereen,of the,Great Masters
Tormund Giantsbane,of the,Night's Watch
Hardhome,of the,Free Folk
Samwell Tarly,of the,Hardhome
Dance,of the,Dragons
Dragons,of the,Seven Kingdoms
Dance,of the,Dragons
Jaime Lannister,of the,Water Gardens
Ser Meryn Trant,of the,Kingsguard
Kingsguard,of the,Arya
Jorah,of the,Harpy
Sons,of the,Harpy
Drogon,of the,Sons
Sons,of the,Harpy
Septa Unella,of the,Faith Militant
Cersei,of the,Kingsguard
Aemon,of the,Watch
Tyrion,of the,Sons
Sons,of the,Harpy
Thorne,of the,Watch
Thorne,of the,Watch
Balon,of the,Pyke
Lord Commander,of the,Brothers
Edd,of the,Night's Watch
Jon,of the,Brothers
Hand,of the,King
Lord Commander,of the,Kingsguard
Sons,of the,Harpy
Sons,of the,Harpy
Sons,of the,Harpy
Vaes Dothrak,of the,Dosh Khaleen
High Priestess,of the,Dosh Khaleen
Warden,of the,North
Rickon,of the,Shaggydog
High Sparrow,of the,Faith
Sansa,of the,North
Jon,of the,North
Lord,of the,Vale
Pyke,of the,Balon Greyjoy
Theon,of the,Iron Islands
Varys,of the,Good Masters of Astapor
Sons,of the,Harpy
High Priestess,of the,Dosh Khaleen
Jon,of the,Houses
Arya,of the,Five Kings
High Priestess,of the,Red Temple
Euron Euron,of the,Iron Islands
Euron,of the,Iron Fleet
Meera,of the,Army
Children,of the,Forest
Children,of the,Forest
Children,of the,Forest
Bran,of the,Leaf
Grand Maester Pycelle,of these,Eddard
Melisandre,of this,Lord
Arya,of those,Eddard
Tyrion,offend their allies by refusing,Tywin
Lord Selwyn Tarth,offered,Gold Dragons
Ramsay Snow,offered,Robb Stark
Cersei,offered,Lollys
Baelish,offered to help,Sansa
Tyrion,offering to break,Kingsguard
Robert,offers,Eddard
Littlefinger,offers,Sansa
Oberyn,offers,Tyrion
Cersei,offers a knighthood to whomever,Sansa Stark
Tyrion,offers her and leave,Essos
Littlefinger,offers to take,Eddard
Jon,offers to take,Sam
Robert,on a,Eddard
Silent Sister,on a,Oxcross
Locke,on a,Locke
Joffrey,on a,Tywin
Jaime,on a,Baelish
Gilly,on a,Oldtown
Harpy,on a,Pentos
Eddard Eddard,on the,Kingsroad
Eddard,on the,Kingsroad
Jon,on the,Wall
Jon,on the,Wall
Cersei,on the,Kingsroad
Crossroads Inn,on the,Eastern Road
Sansa,on the,Kingsroad
Joffrey,on the,Iron Throne
Jon Snow,on the,Wall
Joffrey,on the,Iron Throne
Harrenhal,on the,Gods Eye
Rakharo,on the,Mirri Maz Duur
Gendry,on the,Kingsroad
Joffrey,on the,Iron Throne
Cersei,on the,Small Council
Ghost,on the,Fist
Theon,on the,Winterfell
Lorch,on the,Arya Stark
Tommen,on the,Iron Throne
Cersei,on the,Iron Throne
Qhorin,on the,Wall
White Walkers,on the,Fist
Baelish,on the,Small Council
Stannis Baratheon,on the,Red Priestess Melisandre
Jorah,on the,Small Council
Kingsguard,on the,Small Council
Mance Rayder's,on the,Night's Watch
Tywin,on the,Iron Throne
Tywin,on the,Tyrion
North,on the,Wall
Daario,on the,Daenerys
Varys,on the,Joffrey
Oberyn,on the,Small Council
Greyjoys,on the,Wall
Daenerys Targaryen,on the,Meereen
Great Masters,on the,Meereen
Yara Yara,on the,Dreadfort
Brienne,on the,Pod
Littlefinger,on the,Lysa
Ygritte,on the,Castle
Alliser,on the,Wall
Tormund,on the,Castle Black
Bran,on the,Bran
Varys,on the,Iron Throne
Westeros,on the,Seven Kingdoms
Roose,on the,North
Jon,on the,Night's Watch
Sansa,on the,Stannis
Barristan,on the,Rhaegar
Ramsay,on the,North
Jorah,on the,Tyrion
Baelish,on the,Vale
Sansa,on the,North
Aegon,on the,Iron Throne
Trystane,on the,Small Council
Oberyn,on the,Small Council
Arya,on the,Jaqen
Myrcella,on the,Tyene Sand
Braavos,on the,Westeros
Balon,on the,Balon
Jaime,onto a,Jaime
Royce,onto the,Littlefinger
Harpy,operating,Meereen
Varys,opposed,Stannis Baratheon
Stannis,or,Renly Baratheon
Bran,or,Rickon
Robb Stark,or,Stannis Baratheon
Astapor,or,Qarth
Tywin,or,Joffrey
Bran,or,Robb
Rhaenyra,or,Aegon
Jon,orchestrated,Qhorin Halfhand
Mad King,ordered,Jaime
Tyrion,ordered,Ser Mandon Moore
Margaery,ordered to marry,Joffrey
Kingsguard,ordering,Bronn
Thorne,ordering three trainees take,Sam
Robert,orders,Eddard
Joffrey,orders,Ser Meryn Trant
Tyrion,orders,Hallyne
Qhorin,orders,Jon Snow
Tywin,orders,Gregor
Tyrion,orders,Sandor Clegane
Mormont,orders,Rast
Tywin,orders,Ser Meryn
Alliser,orders,Janos Slynt
Daenerys,orders,Grey Worm
Lord Commander,orders,Janos
Ramsay,orders,Sansa
Lannisters,oust,Greatjon
Tyrion,outmaneuver,Olenna
Tywin Lannister,outnumber,Starks
Robb,outside the,Twins
Daenerys,outside the,Meereen
Dorne,over,Cersei
Arya Stark,over a,Sansa
Sansa,over the,Joffrey
Twins,over the,Green Fork
Jon,over the,Samwell Tarly
Queen,over the,Robert
Night's Watch,over the,Wall
White,over the,Night's Watch
Drogon,over the,Black Cliffs
Stark,over the,North
White,over the,Hardhome
Karstark,over this,Robb
Night's Watch,overcome,Jon
Bran,overhears,Luwin
Red Keep,overlooking,Blackwater Bay
Tyrell,overrunning,Stormlands
Joffrey,overseeing,Ned Stark
Robert,overthrew,Targaryens
Robert,overthrew,Targaryen
Jaime,owes,Brienne
Tyrion,owes him for securing,Ros
Ellaria Sand,owned,Petyr Baelish
Tarth,owns,Westeros
Lord Commander,pains,Jon
Tommen,paralyzed,Olenna
Littlefinger,pass,Cersei
Arya,pass the game of faces,Arya
Arya,passes,Yoren
Olyvar,passes,Littlefinger
